gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 compiled Apr 27 2018 12:53:46
gem5 started Oct 10 2018 04:20:07
gem5 executing on nirmal-H97M-D3H, pid 17784
command line: ./build/X86/gem5.opt ./configs/example/two_level.py --l1d_size=16kB --l1i_size=32kB --l2_size=128kB rev 5000 6000 32

Global frequency set at 1000000000000 ticks per second
Beginning simulation!
Command:  ['rev', '5000', '6000', '32']
info: Entering event queue @ 0.  Starting simulation...
info: Increasing stack size by one page.
4 5000
5000 539549
5004 540540
5008 541548
5012 540444
5016 541428
5020 542388
5024 543372
5028 542268
5032 543252
5036 544212
5040 545196
5044 544092
5048 545076
5052 546036
5056 546996
5060 545916
5064 546876
5068 547860
5072 548820
5076 547740
5080 548700
5084 549684
5088 550644
5092 549564
5096 550524
5100 551508
5104 552468
5108 551292
5112 552252
5116 552372
5120 552468
5124 552156
5128 552252
5132 552372
5136 552468
5140 552156
5144 552252
5148 552372
5152 552468
5156 552156
5160 552252
5164 552372
5168 552468
5172 552156
5176 552252
5180 552372
5184 552468
5188 552156
5192 552252
5196 552372
5200 552468
5204 552156
5208 552252
5212 552372
5216 552468
5220 552156
5224 552252
5228 552372
5232 552468
5236 552156
5240 552252
5244 552372
5248 552468
5252 552156
5256 552252
5260 552372
5264 552468
5268 552156
5272 552252
5276 552372
5280 552468
5284 552156
5288 552252
5292 552372
5296 552468
5300 552156
5304 552252
5308 552372
5312 552468
5316 552156
5320 552252
5324 552372
5328 552468
5332 552156
5336 552252
5340 552348
5344 552444
5348 552132
5352 552252
5356 552348
5360 552444
5364 552132
5368 552252
5372 552348
5376 552444
5380 552132
5384 552252
5388 552348
5392 552444
5396 552132
5400 552252
5404 552348
5408 552444
5412 552132
5416 552252
5420 552348
5424 552444
5428 552132
5432 552252
5436 552348
5440 552444
5444 552132
5448 552252
5452 552348
5456 552444
5460 552132
5464 552252
5468 552348
5472 552444
5476 552132
5480 552252
5484 552348
5488 552444
5492 552132
5496 552252
5500 552348
5504 552444
5508 552132
5512 552252
5516 552348
5520 552444
5524 552132
5528 552252
5532 552348
5536 552444
5540 552132
5544 552252
5548 552348
5552 552444
5556 552132
5560 552252
5564 552348
5568 552444
5572 552132
5576 552252
5580 552348
5584 552444
5588 552132
5592 552252
5596 552348
5600 552444
5604 552132
5608 552252
5612 552348
5616 552444
5620 552132
5624 552252
5628 552348
5632 552444
5636 552132
5640 552252
5644 552348
5648 552420
5652 552132
5656 552228
5660 552324
5664 552420
5668 552132
5672 552228
5676 552324
5680 552420
5684 552132
5688 552228
5692 552324
5696 552420
5700 552132
5704 552228
5708 552324
5712 552420
5716 552132
5720 552228
5724 552324
5728 552420
5732 552132
5736 552228
5740 552324
5744 552420
5748 552132
5752 552228
5756 552324
5760 552420
5764 552132
5768 552228
5772 552324
5776 552420
5780 552132
5784 552228
5788 552324
5792 552420
5796 552132
5800 552228
5804 552324
5808 552420
5812 552132
5816 552228
5820 552324
5824 552420
5828 552132
5832 552228
5836 552324
5840 552420
5844 552132
5848 552228
5852 552324
5856 552420
5860 552132
5864 552228
5868 552324
5872 552420
5876 552132
5880 552228
5884 552324
5888 552420
5892 552132
5896 552228
5900 552324
5904 552420
5908 552132
5912 552228
5916 552324
5920 552420
5924 552132
5928 552228
5932 552324
5936 552420
5940 552132
5944 552228
5948 552324
5952 552420
5956 552132
5960 552228
5964 552324
5968 552420
5972 552132
5976 552228
5980 552324
5984 552420
5988 552132
5992 552228
5996 552324
Exiting @ tick 256804807000 because target called exit()
